certification_number,title,attributes.trait_type,attributes.value
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490601,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490601
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490605,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490605
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490607,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490607
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490608,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490608
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490609,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490609
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490610,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490610
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490614,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490614
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490615,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490615
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490617,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490617
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490620,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490620
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490621,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490621
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490624,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490624
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490626,2020 Pokemon Swsh Black Star Promo Chmpn Path Elite Trnr Box 050 Charizard V PSA 10 Gem Mint,Certification Number,56490626
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2020
,,Brand,POKEMON SWSH BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,050
,,Player,CHARIZARD V
,,Variety/Pedigree,CHMPN.PATH ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490633,2017 Pokemon SM Black Star Promo S L Elite Trnr Box SM70 Shining HO OH Holo PSA 10 Gem Mint,Certification Number,56490633
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2017
,,Brand,POKEMON SM BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,SM70
,,Player,SHINING HO-OH-HOLO
,,Variety/Pedigree,PROMO-S.L.ELITE TRNR.BOX
,,Grade,GEM MT 10
,,Edition,1
56490645,2019 Pokemon SM Black Star Promo Hidden Fates Tins SM211 Charizard GX PSA 10 Gem Mint,Certification Number,56490645
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SM BLACK STAR PROMO
,,Sport,TCG Cards
,,Card Number,SM211
,,Player,CHARIZARD GX
,,Variety/Pedigree,PROMO-HIDDEN FATES TINS
,,Grade,GEM MT 10
,,Edition,1
56490656,2019 Pokemon Sun & Moon Hidden Fates SV6 Charmander Holo PSA 10 Gem Mint,Certification Number,56490656
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV6
,,Player,CHARMANDER-HOLO
,,Variety/Pedigree,HIDDEN FATES
,,Grade,GEM MT 10
,,PSA Price Guide Value,$30
,,Edition,1
56490657,2019 Pokemon Sun & Moon Hidden Fates SV6 Charmander Holo PSA 10 Gem Mint,Certification Number,56490657
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2019
,,Brand,POKEMON SUN & MOON HIDDEN FATES
,,Sport,TCG Cards
,,Card Number,SV6
,,Player,CHARMANDER-HOLO
,,Variety/Pedigree,HIDDEN FATES
,,Grade,GEM MT 10
,,PSA Price Guide Value,$30
,,Edition,1
63150437,1999 Wotc Pokemon Jungle Foil Pack Scyther Jungle Foil Pack PSA 9 Mint,Certification Number,63150437
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON JUNGLE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,JUNGLE FOIL PACK
,,Variety/Pedigree,SCYTHER
,,Grade,MINT 9
,,Edition,1
63150455,1999 Wotc Pokemon Base Foil Pack Charizard Base Foil Pack PSA 9 Mint,Certification Number,63150455
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON BASE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,BASE FOIL PACK
,,Variety/Pedigree,CHARIZARD
,,Grade,MINT 9
,,Edition,1
63203372,1999 Wotc Pokemon Base Foil Pack Venusaur Base Foil Pack PSA 9 Mint,Certification Number,63203372
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON BASE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,BASE FOIL PACK
,,Variety/Pedigree,VENUSAUR
,,Grade,MINT 9
,,Edition,1
63203377,1999 Wotc Pokemon Base Foil Pack Venusaur Base Foil Pack PSA 9 Mint,Certification Number,63203377
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON BASE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,BASE FOIL PACK
,,Variety/Pedigree,VENUSAUR
,,Grade,MINT 9
,,Edition,1
63203388,1999 Wotc Pokemon Base Foil Pack Charizard Base Foil Pack PSA 9 Mint,Certification Number,63203388
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON BASE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,BASE FOIL PACK
,,Variety/Pedigree,CHARIZARD
,,Grade,MINT 9
,,Edition,1
63203408,1999 Wotc Pokemon Base Foil Pack Blastoise Base Foil Pack PSA 9 Mint,Certification Number,63203408
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON BASE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,BASE FOIL PACK
,,Variety/Pedigree,BLASTOISE
,,Grade,MINT 9
,,Edition,1
63203417,1999 Wotc Pokemon Base Foil Pack Blastoise Base Foil Pack PSA 9 Mint,Certification Number,63203417
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON BASE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,BASE FOIL PACK
,,Variety/Pedigree,BLASTOISE
,,Grade,MINT 9
,,Edition,1
63203419,1999 Wotc Pokemon Base Foil Pack Blastoise Base Foil Pack PSA 9 Mint,Certification Number,63203419
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1999
,,Brand,WOTC-POKEMON BASE FOIL PACK
,,Sport,PACKS
,,Card Number,
,,Player,BASE FOIL PACK
,,Variety/Pedigree,BLASTOISE
,,Grade,MINT 9
,,Edition,1
63919459,1998 Pokemon Japanese Red Green Gift Set 144 Articuno Holo PSA 10 Gem Mint,Certification Number,63919459
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,1998
,,Brand,POKEMON JAPANESE RED/GREEN GIFT
,,Sport,TCG Cards
,,Card Number,144
,,Player,ARTICUNO-HOLO
,,Variety/Pedigree,RED/GREEN GIFT SET
,,Grade,GEM MT 10
,,Edition,1
64295360,2022 Pokemon Sword and Shield Brilliant Stars Secret 174 FA/Charizard VStar PSA 9 Mint,Certification Number,64295360
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2022
,,Brand,POKEMON SWORD AND SHIELD BRILLIANT STARS
,,Sport,TCG Cards
,,Card Number,174
,,Player,FA/CHARIZARD VSTAR
,,Variety/Pedigree,BRILLIANT STARS-SECRET
,,Grade,MINT 9
,,Edition,1
64295361,2022 Pokemon Sword and Shield Brilliant Stars Secret 174 FA/Charizard VStar PSA 10 Gem Mint,Certification Number,64295361
,,Label Type, with fugitive ink technology
,,Reverse Cert Number/Barcode,Yes
,,Year,2022
,,Brand,POKEMON SWORD AND SHIELD BRILLIANT STARS
,,Sport,TCG Cards
,,Card Number,174
,,Player,FA/CHARIZARD VSTAR
,,Variety/Pedigree,BRILLIANT STARS-SECRET
,,Grade,GEM MT 10
,,Edition,1
